Lot Frontage,Lot Area,Street,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
60,6756,1,5,6,1910,1950,0,0,481,481,0,899,0,0,899,0,0,1,0,2,1,5,0,1930,1,200,0,0,96,0,0,0,0,9,2008,78000
80,10000,1,5,5,2002,2002,166,0,856,1441,1,1392,0,0,1392,0,0,2,0,3,1,6,1,2002,3,650,168,49,0,0,0,0,0,12,2007,215000
71,9353,1,4,5,1970,1970,0,0,864,864,1,864,0,0,864,0,0,1,0,3,1,5,0,1972,1,280,0,0,0,0,0,0,0,7,2006,116050
57,6420,1,5,7,1952,1952,0,551,219,980,1,1148,0,0,1148,0,1,1,0,2,1,6,0,1952,1,308,0,0,0,0,0,0,0,9,2006,123500
57,9245,1,5,5,1994,1995,0,0,304,990,1,990,0,0,990,0,1,1,0,3,1,5,0,1996,2,672,0,0,0,0,0,0,0,2,2008,145000
76,12436,1,5,5,1957,1957,0,0,1824,1824,1,1824,0,0,1824,0,0,2,0,5,2,9,0,1958,2,484,0,0,0,0,0,0,0,1,2008,146000
83,10184,1,6,5,1963,1963,379,0,503,1083,1,1146,0,0,1146,0,1,1,0,3,1,6,1,1963,1,294,345,75,0,0,0,0,0,6,2006,165000
43,3182,1,7,5,2005,2006,16,0,1330,1346,1,1504,0,0,1504,0,0,2,0,1,1,7,1,2005,2,457,156,0,0,0,0,0,0,5,2009,181000
60,8850,1,6,7,1920,1950,0,0,768,768,1,752,624,0,1376,0,0,1,0,3,1,7,0,1977,2,576,0,54,144,0,0,0,0,2,2007,165000
44,3811,1,8,5,2004,2005,186,0,221,1594,1,1646,0,0,1646,1,1,2,0,2,1,5,1,2004,2,525,128,53,0,0,155,0,0,5,2010,246000
82,16052,1,10,5,2006,2006,734,0,644,1850,1,1850,848,0,2698,1,0,2,1,4,1,11,1,2006,3,736,250,0,0,0,0,0,0,7,2006,535000
80,9200,1,6,5,1965,1965,98,0,548,1042,1,1042,0,0,1042,0,0,2,0,3,1,5,0,1965,2,440,192,0,0,0,0,0,0,5,2007,161000
41,12460,1,7,5,1999,2000,0,0,167,1037,1,1037,1285,0,2322,0,0,2,1,4,1,8,1,1999,2,400,144,44,0,0,0,0,0,5,2008,225000
70,7931,1,5,5,1959,1959,0,0,0,1148,1,1148,0,0,1148,1,0,1,0,3,1,6,0,1959,1,672,0,0,0,0,0,0,0,7,2009,132500
110,14226,1,8,5,2006,2006,375,0,1935,1935,1,1973,0,0,1973,0,0,2,0,3,1,9,1,2006,3,895,315,45,0,0,0,0,0,7,2007,395000
124,18600,1,3,4,1938,1990,0,684,0,972,1,1052,558,0,1610,0,1,2,0,4,1,8,1,1938,1,480,0,0,60,0,0,0,450,6,2010,124000
56,7745,1,4,6,1900,1950,0,0,938,938,0,1084,867,0,1951,0,0,2,0,4,2,9,0,1993,2,576,0,6,28,0,0,0,0,4,2006,111500
56,9576,1,6,7,1945,1950,0,0,460,770,1,885,297,0,1182,0,0,1,1,3,1,5,0,1945,1,378,0,0,0,0,0,0,0,5,2006,120000
65,8139,1,6,5,1995,1996,119,0,204,680,1,680,790,0,1470,0,0,2,1,3,1,7,1,1995,2,420,192,49,0,0,0,0,0,10,2008,165000
70,9800,1,5,7,1972,1972,0,0,0,894,1,894,0,0,894,1,0,1,0,3,1,5,0,1975,2,552,256,0,0,0,0,0,0,7,2006,149900
60,8064,1,6,5,1950,1950,0,0,174,795,0,765,368,0,1133,0,0,1,0,3,1,5,0,1989,2,900,0,0,0,0,231,0,0,12,2009,128500
85,14115,1,5,5,1993,1995,0,0,64,796,1,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,2009,143000
96,13132,1,5,5,1914,1950,0,0,747,747,1,892,892,0,1784,0,0,1,1,4,1,9,0,1914,1,180,203,40,0,0,0,0,0,7,2006,138887
21,1680,1,6,3,1971,1971,604,0,125,483,1,483,504,0,987,0,0,1,1,2,1,5,0,1971,1,264,0,0,0,0,0,0,0,8,2008,89500
76,10141,1,8,5,2004,2004,264,774,222,1512,1,1512,0,0,1512,0,0,2,0,3,1,6,0,2004,3,845,210,36,0,0,0,0,0,1,2009,203000
70,8680,1,5,7,1960,1960,0,0,894,894,1,894,0,0,894,0,0,1,0,3,1,5,0,1965,1,312,0,0,0,0,0,0,0,1,2007,117600
134,17755,1,5,4,1959,1959,132,0,1290,1466,1,1466,0,0,1466,0,0,1,1,3,1,6,2,1959,2,528,0,140,0,0,100,0,0,11,2006,149900
58,6380,1,5,6,1922,1950,0,0,993,993,1,1048,0,0,1048,0,0,1,0,2,1,5,1,1922,1,280,0,0,116,0,0,0,0,8,2006,113000
85,11049,1,8,5,2007,2007,0,0,1234,1234,1,1234,0,0,1234,0,0,2,0,3,1,7,0,2007,2,484,0,30,0,0,0,0,0,1,2008,179900
60,7200,1,5,8,1940,1950,279,0,808,808,1,1072,0,0,1072,0,0,1,0,2,1,5,2,1940,2,379,0,0,0,0,0,0,0,5,2007,130000
57,8013,1,8,5,1995,1996,0,0,846,1587,1,1734,0,0,1734,1,0,2,0,2,1,6,0,1995,2,528,52,50,0,0,0,0,0,9,2009,239500
90,9900,1,5,5,1961,1961,0,0,1114,1114,1,1114,0,0,1114,1,0,1,0,3,1,5,0,1961,2,451,0,0,0,0,164,0,0,5,2008,140000
78,10530,1,7,6,1993,1993,194,0,329,1148,1,1091,984,0,2075,1,0,2,1,3,1,8,1,1993,2,473,235,86,0,0,0,0,0,8,2007,255000
60,10800,1,4,7,1885,1995,0,0,641,641,1,1047,0,0,1047,0,0,1,0,2,1,6,0,1954,1,273,0,0,0,0,0,0,450,8,2007,100000
68,50271,1,9,5,1981,1987,0,0,32,1842,1,1842,0,0,1842,2,0,0,1,0,1,5,1,1981,3,894,857,72,0,0,0,0,0,11,2006,385000
60,11556,1,5,9,1953,2006,0,0,456,864,1,1154,0,0,1154,0,0,1,1,3,1,6,0,1962,1,336,63,0,0,0,0,0,0,7,2007,142000
101,13543,1,8,5,2005,2005,130,0,1152,1168,1,1168,1332,0,2500,0,0,3,1,5,1,9,1,2005,3,683,192,32,0,0,0,0,0,7,2008,355000
50,5220,1,5,3,1936,1950,0,0,830,830,1,879,0,0,879,0,0,1,0,2,1,4,0,1936,1,180,0,108,0,0,0,0,0,1,2006,80000
65,8450,1,7,5,2003,2003,196,0,150,856,1,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2008,208500
21,1680,1,6,5,1972,1972,504,0,207,483,1,483,465,0,948,0,0,1,1,2,1,5,0,1972,1,264,0,0,0,0,0,0,0,7,2006,89000
85,16056,1,9,5,2005,2006,208,0,1752,1992,1,1992,876,0,2868,0,0,3,1,4,1,11,1,2005,3,716,214,108,0,0,0,0,0,7,2006,556581
80,9600,1,7,6,1973,1973,320,0,326,1242,1,1242,0,0,1242,0,0,1,1,3,1,6,1,1973,2,528,0,0,0,0,0,0,0,9,2007,175500
